LOCALITY_,PRIME_DPS_,NAME,PRINT_NAME,NAME_2,POPULATION,PERIM_FT,AREA_SQ_FT,SOURCE,UPDATE_,NOTES,SHAPE_AREA,SHAPE_LEN,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
326,18212,Corinth village,Corinth,NA,2472,30355,NA,NGRID,2000,NA,2887429.32805,9252.26140234,0,0,0,0,0,0,0,0
328,15880,Clarendon town,Clarendon,NA,3381,125084,NA,NGRID,2000,NA,91168725.8049,38126.2198436,0,0,0,0,0,0,0,0
330,51407,Northampton town,Northampton,NA,1582,161580,NA,NGRID,2000,NA,86242418.4894,49250.1481195,0,0,0,0,0,0,0,0
333,16188,Cleveland village,Cleveland,NA,715,23486,NA,NGRID,2000,NA,3171550.12511,7158.59053831,0,0,0,0,0,0,0,0
334,02550,Argyle village,Argyle,NA,263,12533,9923534,NGRID,2000,NA,921907.623919,3820.18723576,0,0,0,0,0,0,0,0
335,42147,Lewiston village,Lewiston,NA,2232,23154,NA,NGRID,2000,NA,2991702.73708,7057.46177797,0,0,0,0,0,0,0,0
336,57661,Phoenix village,Phoenix,NA,2179,26574,NA,NGRID,2000,NA,3183934.11103,8099.9822017,0,0,0,0,0,0,0,0
338,16815,Cold Brook village,Cold Brook,NA,323,16380,NA,NGRID,2000,NA,1155651.84844,4992.63975393,0,0,0,0,0,0,0,0
341,06882,Bleecker town,Bleecker,NA,594,164213,NA,NGRID,2000,NA,153740903.69,50052.8089592,0,0,0,0,0,0,0,0
342,54474,Ogden town,Ogden,NA,16101,175318,NA,RGE,2000,NA,91646513.8508,53437.9187277,0,0,0,0,0,0,0,0
345,53770,Northville village,Northville,NA,1161,30769,NA,NGRID,2000,NA,3636783.75478,9378.44985016,0,0,0,0,0,0,0,0
347,70189,Spencerport village,Spencerport,NA,3298,44730,NA,Municipal,2000,NA,3600935.05427,13633.985959,0,0,0,0,0,0,0,0
348,12573,Caroga town,Caroga,NA,1421,159308,NA,NGRID,2000,NA,140691478.218,48557.7555332,0,0,0,0,0,0,0,0
350,58937,Poland village,Poland,T Newport,449,20048,NA,NGRID,2000,NA,1730806.85192,6110.72030366,0,0,0,0,0,0,0,0
352,50584,Newport town,Newport,NA,1442,152091,NA,NGRID,2000,NA,81899371.5431,46358.1163463,0,0,0,0,0,0,0,0
354,78102,Walworth town,Walworth,NA,9309,122943,NA,RGE,2000,NA,87698071.0776,37474.1541742,0,0,0,0,0,0,0,0
356,53737,Northumberland town,Northumberland,NA,4646,131456,NA,NGRID,2000,NA,85252896.7481,40068.0472604,0,0,0,0,0,0,0,0
358,45645,Marion town,Marion,NA,4957,117103,NA,RGE,2000,NA,75467756.3689,35694.3153542,0,0,0,0,0,0,0,0
360,72521,Sylvan Beach village,Sylvan Beach,NA,1075,29709,NA,NGRID,2000,NA,1933850.42912,9055.67487377,0,0,0,0,0,0,0,0
361,63605,Rose town,Rose,NA,2361,124543,NA,RGE,2000,NA,87619965.4453,37962.3021626,0,0,0,0,0,0,0,0
363,82403,Wilton town,Wilton,NA,12708,128602,NA,NGRID,2000,NA,92939751.723,39198.2553048,0,0,0,0,0,0,0,0
366,51033,Niagara town,Niagara,NA,10183,84872,NA,NGRID,2000,NA,24457063.8666,25869.3677485,0,0,0,0,0,0,0,0
368,30444,Greenfield town,Greenfield,NA,7320,187039,NA,NGRID,2000,NA,175006793.161,57010.1774992,0,0,0,0,0,0,0,0
369,64771,Salem village,Salem,NA,965,42231,NA,NYSEG,2000,NA,7573924.84326,12872.1072257,0,0,0,0,0,0,0,0
372,50573,Newport village,Newport,NA,527,16573,NA,NGRID,2000,NA,1471957.05308,5051.69182505,0,0,0,0,0,0,0,0
373,12969,Cato town,Cato,NA,2106,164381,NA,RGE,2000,NA,90429160.7099,50104.9856799,0,0,0,0,0,0,0,0
376,24933,Fairfield town,Fairfield,NA,1263,156234,NA,NGRID,2000,NA,105129553.234,47620.7226504,0,0,0,0,0,0,0,0
378,43973,Lyons town,Lyons,NA,2151,194631,NA,NYSEG,2000,NA,85435805.4109,59325.7943103,0,0,0,0,0,0,0,0
379,46646,Meridian village,Meridian,NA,291,17616,NA,RGE,2000,NA,1792306.50484,5369.49218233,0,0,0,0,0,0,0,0
380,54166,Oakfield town,Oakfield,NA,1770,122546,NA,NGRID,2000,NA,59882536.9839,37352.4742512,0,0,0,0,0,0,0,0
381,12958,Cato village,Cato,NA,564,21215,NA,RGE,2000,NA,2626046.85651,6466.49951243,0,0,0,0,0,0,0,0
306,26770,Fort Edward village,Fort Edward,NA,2821,39894,NA,NGRID,2000,NA,4951196.54268,12159.8848045,0,0,0,0,0,0,0,0
307,11803,Cambria town,Cambria,NA,5416,133482,NA,NGRID,2000,NA,102960656.658,40686.1699102,0,0,0,0,0,0,0,0
308,37726,Irondequoit town,Irondequoit,NA,52842,177501,NA,RGE,2000,NA,42653425.2923,54103.4717942,0,0,0,0,0,0,0,0
311,46415,Medina village,Medina,T Shelby,6222,44748,NA,NGRID,2000,NA,8596675.11447,13639.2742464,0,0,0,0,0,0,0,0
312,63418,Rome city,Rome,Outside,35057,274326,NA,NGRID,2000,NA,195888145.107,83616.5457393,0,0,0,0,0,0,0,0
314,16067,Clay town,Clay,NA,55450,215537,NA,NGRID,2000,NA,123447309.028,65697.6112328,0,0,0,0,0,0,0,0
315,65618,Schroeppel town,Schroeppel,NA,6423,187506,NA,NGRID,2000,NA,108734452.433,57153.3271154,0,0,0,0,0,0,0,0
323,68209,Sodus village,Sodus,NA,1425,40734,NA,RGE,2000,NA,2407622.68087,12416.1633312,0,0,0,0,0,0,0,0
324,32688,Hastings town,Hastings,NA,7835,214896,NA,NGRID,2000,NA,114341802.774,65501.9584023,0,0,0,0,0,0,0,0
327,04572,Barre town,Barre,NA,2144,163330,NA,NGRID,2000,NA,143377370.859,49783.4435703,0,0,0,0,0,0,0,0
264,32490,Hartland town,Hartland,NA,4064,159558,NA,NGRID,2000,NA,135904729.295,48633.9355346,0,0,0,0,0,0,0,0
265,35496,Hope town,Hope,NA,438,142485,NA,NGRID,2000,NA,107815603.754,43429.8185279,0,0,0,0,0,0,0,0
267,82689,Wolcott town,Wolcott,NA,2803,152008,NA,RGE,2000,NA,97471631.621,46333.6148287,0,0,0,0,0,0,0,0
270,27958,Gaines town,Gaines,NA,2635,142535,NA,NGRID,2000,NA,88734912.4158,43444.9773437,0,0,0,0,0,0,0,0
271,11847,Camden village,Camden,NA,2260,32024,NA,NGRID,2000,NA,5852835.10163,9761.0942414,0,0,0,0,0,0,0,0
274,49286,Murray town,Murray,NA,4733,138433,NA,NGRID,2000,NA,77432845.4562,42195.0834907,0,0,0,0,0,0,0,0
275,32017,Hannibal village,Hannibal,NA,543,22682,NA,NGRID,2000,NA,2945725.58704,6913.73997286,0,0,0,0,0,0,0,0
277,29333,Glens Falls city,Glens Falls,NA,14288,48904,NA,NGRID,2000,NA,10236694.2339,14906.1146388,0,0,0,0,0,0,0,0
278,61115,Remsen village,Remsen,T Remsen,437,13763,NA,NGRID,2000,NA,960214.561175,4194.98020876,0,0,0,0,0,0,0,0
281,84143,Youngstown village,Youngstown,NA,1659,27283,NA,NGRID,2000,NA,3460794.48534,8315.94500167,0,0,0,0,0,0,0,0
283,59267,Porter town,Porter,NA,4691,150334,NA,NGRID,2000,NA,83085828.6247,45822.6847489,0,0,0,0,0,0,0,0
285,35980,Hudson Falls village,Hudson Falls,NA,6796,33315,NA,NGRID,2000,NA,4955391.1085,10154.4867785,0,0,0,0,0,0,0,0
289,02561,Argyle town,Argyle,NA,3438,185966,NA,NGRID,2000,NA,148817049.394,56682.7109439,0,0,0,0,0,0,0,0
291,69078,South Glens Falls villa,South Glens Falls,NA,3492,30716,NA,NGRID,2000,NA,3964426.58044,9362.29675714,0,0,0,0,0,0,0,0
293,13585,Central Square village,Central Square,NA,1458,57290,NA,NGRID,2000,NA,4994749.01665,17462.4732893,0,0,0,0,0,0,0,0
295,59883,Prospect village,Prospect,NA,229,10713,5758597,NGRID,2000,NA,534994.800592,3265.26483356,0,0,0,0,0,0,0,0
297,26781,Fort Edward town,Fort Edward,NA,2775,149801,NA,NGRID,2000,NA,65996891.7267,45659.8669378,0,0,0,0,0,0,0,0
300,01044,Albion town,Albion,NA,1856,149325,NA,NGRID,2000,NA,59084911.463,45514.6933568,0,0,0,0,0,0,0,0
302,01033,Albion village,Albion,T Gaines,7319,43974,NA,NGRID,2000,NA,7590300.39939,13403.3626236,0,0,0,0,0,0,0,0
305,42158,Lewiston town,Lewiston,NA,15900,167156,NA,NGRID,2000,NA,127491400.126,50950.0414695,0,0,0,0,0,0,0,0
230,77662,Volney town,Volney,NA,6059,192816,NA,NGRID,2000,NA,127360565.099,58771.9706548,0,0,0,0,0,0,0,0
232,47691,Minetto town,Minetto,NA,1682,64557,NA,NGRID,2000,NA,15468520.0025,19677.4004082,0,0,0,0,0,0,0,0
235,56154,Palermo town,Palermo,NA,3876,136994,NA,NGRID,2000,NA,105593479.096,41756.7257835,0,0,0,0,0,0,0,0
238,71146,Sterling town,Sterling,NA,2573,202536,NA,RGE,2000,NA,113960991.26,61734.6781195,0,0,0,0,0,0,0,0
239,68330,Somerset town,Somerset,NA,2317,152468,NA,NGRID,2000,NA,94199132.5742,46472.8976285,0,0,0,0,0,0,0,0
240,83448,Yates town,Yates,NA,1675,155795,NA,NGRID,2000,NA,93680505.6233,47486.5109639,0,0,0,0,0,0,0,0
242,56341,Parish village,Parish,NA,480,25199,NA,NGRID,2000,NA,3690882.10424,7680.86481399,0,0,0,0,0,0,0,0
243,39188,Kendall town,Kendall,NA,2617,125640,NA,NGRID,2000,NA,84743352.8094,38295.4206127,0,0,0,0,0,0,0,0
245,64254,Russia town,Russia,NA,1863,232177,NA,NGRID,2000,NA,153758215.799,70769.1449744,0,0,0,0,0,0,0,0
247,31797,Hamlin town,Hamlin,NA,9068,144701,NA,NGRID,2000,NA,110991498.026,44105.4250279,0,0,0,0,0,0,0,0
249,39650,Kingsbury town,Kingsbury,NA,4694,134078,NA,NGRID,2000,NA,98253629.1921,40867.2734052,0,0,0,0,0,0,0,0
251,79862,Western town,Western,NA,2096,155947,NA,NGRID,2000,NA,141016972.039,47533.5905643,0,0,0,0,0,0,0,0
252,82370,Wilson town,Wilson,NA,4243,171700,NA,NGRID,2000,NA,126241409.42,52335.2172506,0,0,0,0,0,0,0,0
256,82359,Wilson village,Wilson,NA,1105,29925,NA,NGRID,2000,NA,2112867.22301,9121.24280305,0,0,0,0,0,0,0,0
257,29729,Granby town,Granby,NA,7275,205786,NA,NGRID,2000,NA,120158527.601,62725.2945928,0,0,0,0,0,0,0,0
260,80500,West Monroe town,West Monroe,NA,4833,146644,NA,NGRID,2000,NA,99067266.1064,44698.3101346,0,0,0,0,0,0,0,0
261,56561,Parma town,Parma,NA,9535,187574,NA,RGE,2000,NA,104462947.416,57173.5296148,0,0,0,0,0,0,0,0
262,30290,Greece town,Greece,NA,93979,204779,NA,RGE,2000,NA,125733411.698,62417.8363812,0,0,0,0,0,0,0,0
263,33040,Hebron town,Hebron,NA,1767,168515,NA,NYSEG,2000,NA,146033575.537,51363.5931221,0,0,0,0,0,0,0,0
266,24988,Fair Haven village,Fair Haven,NA,840,69014,NA,RGE,2000,NA,4675699.38211,21036.0715974,0,0,0,0,0,0,0,0
268,40662,Lake Luzerne town,Lake Luzerne,NA,3334,189316,NA,NGRID,2000,NA,140086680.001,57703.9412427,0,0,0,0,0,0,0,0
269,61742,Ridgeway town,Ridgeway,NA,3404,164116,NA,NGRID,2000,NA,125414967.374,50022.9876026,0,0,0,0,0,0,0,0
272,05958,Benson town,Benson,NA,165,211730,NA,NGRID,2000,NA,215236022.959,64536.2311966,0,0,0,0,0,0,0,0
273,27815,Fulton city,Fulton,NA,11440,59923,NA,NGRID,2000,NA,12175475.856,18265.1144097,0,0,0,0,0,0,0,0
