id,nameCol,nameAlt,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
nta,Belmont,BX0603,0.16896598041057587,0.05398845300078392,0.0010205580620095134,0,0.29047468304634094,0.16698971390724182,0.3033091425895691,0.015251475386321545
nta,University Heights (North)-Fordham,BX0701,0.1967732459306717,0.059920016676187515,0.0014470798196271062,5.854589981026947e-4,0.25809037685394287,0.18214131891727448,0.27122801542282104,0.029814496636390686
nta,Bedford Park,BX0702,0.1451568305492401,0.0651904046535492,0.005945689044892788,0.16136856377124786,0.2291315495967865,0.12880714237689972,0.22990578413009644,0.03449400141835213
nta,Norwood,BX0703,0.2336781620979309,0.061792612075805664,0.0020991892088204622,0,0.2929326295852661,0.15225520730018616,0.24224798381328583,0.014994194731116295
nta,Kingsbridge Heights-Van Cortlandt Village,BX0801,0.25115522742271423,0.050307780504226685,7.973307510837913e-4,0,0.2760523557662964,0.16907894611358643,0.25260838866233826,0
nta,Kingsbridge-Marble Hill,BX0802,0.19273823499679565,0.051815424114465714,0.002770018996670842,4.676264070440084e-4,0.26901113986968994,0.1346595287322998,0.3023788630962372,0.046159129589796066
nta,Riverdale-Spuyten Duyvil,BX0803,0.4858238399028778,0.12158937752246857,0.0068794675171375275,0.0011518481187522411,0.13315832614898682,0.0895908772945404,0.14470446109771729,0.017101777717471123
nta,Soundview-Bruckner-Bronx River,BX0901,0.171582892537117,0.08118298649787903,0.0036373028997331858,0.010831805877387524,0.26090046763420105,0.17134647071361542,0.2890172302722931,0.011500869877636433
nta,Soundview-Clason Point,BX0902,0.2339310199022293,0.14548486471176147,0.016951872035861015,0.01108824647963047,0.17114116251468658,0.1647980511188507,0.25660479068756104,0
nta,Castle Hill-Unionport,BX0903,0.1395195722579956,0.0929211899638176,0.00677800178527832,0.004876214079558849,0.22404883801937103,0.19150912761688232,0.33768996596336365,0.0026570549234747887
nta,Parkchester,BX0904,0.2762092053890228,0.06758486479520798,0.0011492123594507575,0,0.2797950804233551,0.14255481958389282,0.22668439149856567,0.006022382993251085
nta,Soundview Park,BX0991,0.35306036472320557,0.3886512815952301,0.06036548689007759,0.03624948114156723,8.786445832811296e-4,0.04506682604551315,0.11572792381048203,0
nta,Westchester Square,BX1001,0.10230306535959244,0.052092295140028,0.003917045891284943,0.0016380449524149299,0.31056228280067444,0.17469464242458344,0.33792516589164734,0.016867492347955704
nta,Throgs Neck-Schuylerville,BX1002,0.18474382162094116,0.16846445202827454,0.012326659634709358,0.014015230350196362,0.1732044667005539,0.17947866022586823,0.2677578628063202,8.841004273563158e-6
nta,Pelham Bay-Country Club-City Island,BX1003,0.18293708562850952,0.12884706258773804,0.012677677907049656,0.014603267423808575,0.20742887258529663,0.1312866359949112,0.31749585270881653,0.004723533522337675
nta,Co-op City,BX1004,0.17307120561599731,0.17641054093837738,0.007812535390257835,0.10018536448478699,0.14130477607250214,0.1513148844242096,0.24706144630908966,0.0028392074164003134
nta,Hart Island,BX1071,0.25636255741119385,0.4802733063697815,0.1612006276845932,0.022301651537418365,0.01584945246577263,0.038548845797777176,0.025463484227657318,0
